BOROUGH CODE,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,LATITUDE,LONGITUDE,GROUPED CATEGORY
1,MANHATTAN,HARLEM-UPPER,07 RENTALS - WALKUP APARTMENTS,2A,2062,6,,C2,467 WEST 147 STREET,,10031.0,6.0,0.0,6.0,1873.0,2580.0,1926.0,2,C2,1120000,2022-09-21,,,Apartment
1,MANHATTAN,HARLEM-UPPER,07 RENTALS - WALKUP APARTMENTS,2A,2081,18,,C3,533 WEST 149 STREET,,10031.0,4.0,0.0,4.0,1599.0,3274.0,1905.0,2,C3,1350000,2022-11-04,,,Apartment
1,MANHATTAN,HARLEM-UPPER,07 RENTALS - WALKUP APARTMENTS,2A,2082,18,,C2,529 WEST 150 STREET,,10031.0,6.0,0.0,6.0,1699.0,3629.0,1910.0,2,C2,1900000,2023-03-28,,,Apartment
1,MANHATTAN,HARLEM-UPPER,07 RENTALS - WALKUP APARTMENTS,2A,2082,23,,C5,513 WEST 150 STREET,,10031.0,6.0,0.0,6.0,1499.0,3408.0,1910.0,2,C5,750000,2022-05-03,,,Apartment
1,MANHATTAN,HARLEM-UPPER,07 RENTALS - WALKUP APARTMENTS,2A,2082,124,,C3,509 WEST 150 STREET,,10031.0,4.0,0.0,4.0,1499.0,3564.0,1910.0,2,C3,1320000,2022-05-04,,,Apartment
1,MANHATTAN,INWOOD,01 ONE FAMILY DWELLINGS,1,2215,264,,A1,60 TERRACE VIEW,,10463.0,1.0,0.0,1.0,1975.0,1899.0,1920.0,1,A1,765000,2023-01-13,40.8777451,-73.9108834,Single-family home
1,MANHATTAN,INWOOD,01 ONE FAMILY DWELLINGS,1,2215,425,,A1,11 VAN CORLEAR PLACE,,10463.0,1.0,0.0,1.0,2400.0,1848.0,1910.0,1,A1,959500,2022-06-15,40.876219299999995,-73.9109756,Single-family home
1,MANHATTAN,LITTLE ITALY,14 RENTALS - 4-10 UNIT,2A,478,17,,S4,174 ELIZABETH STREET,,10012.0,4.0,1.0,5.0,940.0,2660.0,1900.0,2,S4,1050000,2022-07-28,40.720992300000006,-73.994653,Multi-family home
1,MANHATTAN,WASHINGTON HEIGHTS LOWER,01 ONE FAMILY DWELLINGS,1,2108,8,,A9,946 ST. NICHOLAS AVE,,10032.0,1.0,0.0,1.0,900.0,3238.0,1899.0,1,A9,1317500,2022-09-16,40.83272720000001,-73.94050399999998,Single-family home
1,MANHATTAN,WASHINGTON HEIGHTS LOWER,02 TWO FAMILY DWELLINGS,1,2118,55,,B1,541 WEST 159 STREET,,10032.0,2.0,0.0,2.0,1532.0,3480.0,1905.0,1,B1,1215000,2022-07-29,,,Duplex
1,MANHATTAN,WASHINGTON HEIGHTS LOWER,02 TWO FAMILY DWELLINGS,1,2120,12,,B2,556 WEST 162 STREET,,10032.0,2.0,0.0,2.0,1799.0,3225.0,1910.0,1,B2,1176500,2022-08-05,,,Duplex
1,MANHATTAN,WASHINGTON HEIGHTS LOWER,02 TWO FAMILY DWELLINGS,1,2122,14,,B1,533 WEST 162 STREET,,10032.0,2.0,0.0,2.0,2000.0,3000.0,1920.0,1,B1,995000,2022-10-24,40.8367454,-73.9410911,Duplex
1,MANHATTAN,WASHINGTON HEIGHTS LOWER,02 TWO FAMILY DWELLINGS,1,2131,136,,B1,528 WEST 175 STREET,,10033.0,2.0,0.0,2.0,1704.0,2592.0,1901.0,1,B1,1600000,2023-03-27,,,Duplex
