BOROUGH CODE,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5971,40,,A0,28-27 JORDAN STREET,,11358.0,1.0,0.0,1.0,3842.0,1195.0,1950.0,1,A0,125000,2023-01-04
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5972,31,,A1,28-49 200TH STREET,,11360.0,1.0,0.0,1.0,4000.0,1400.0,1940.0,1,A1,840000,2023-01-18
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5973,35,,A1,26-50 202 ST,,11360.0,1.0,0.0,1.0,4000.0,1368.0,1930.0,1,A1,1128000,2022-11-22
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5976,46,,A1,28-37 201 STREET,,11360.0,1.0,0.0,1.0,3867.0,1886.0,1945.0,1,A1,1220000,2022-11-30
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5977,5,,A2,26-57 202ND STREET,,11360.0,1.0,0.0,1.0,4000.0,1670.0,1930.0,1,A2,817500,2022-11-04
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5977,44,,A5,28-41 202ND STREET,,11360.0,1.0,0.0,1.0,2442.0,1520.0,1930.0,1,A5,850000,2022-06-09
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5977,46,,A5,28-39 202 STREET,,11360.0,1.0,0.0,1.0,2442.0,1520.0,1930.0,1,A5,855000,2023-04-07
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5987,58,,A2,207-20 27TH AVENUE,,11360.0,1.0,0.0,1.0,4300.0,1824.0,1960.0,1,A2,1120000,2023-01-17
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5990,8,,A1,28-47 208TH STREET,,11360.0,1.0,0.0,1.0,4100.0,2935.0,1957.0,1,A1,1297000,2022-05-23
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5990,22,,A2,28-19 208TH STREET,,11360.0,1.0,0.0,1.0,4100.0,2135.0,1960.0,1,A2,1005000,2022-05-13
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5990,32,,A2,28-04 CORPORAL KENNEDY ST,,11360.0,1.0,0.0,1.0,6140.0,1490.0,1960.0,1,A2,1350000,2022-09-21
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5992,42,,A2,209-43 27TH AVENUE,,11360.0,1.0,0.0,1.0,4550.0,1953.0,1945.0,1,A2,1145000,2022-08-02
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5993,23,,A2,209-36 27TH AVENUE,,11360.0,1.0,0.0,1.0,4100.0,1825.0,1945.0,1,A2,1180000,2023-04-06
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5993,59,,A1,209-11 28TH AVENUE,,11360.0,1.0,0.0,1.0,5617.0,1604.0,1950.0,1,A1,950000,2023-04-24
4,QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,1,5995,37,,A2,28-38 210TH STREET,,11360.0,1.0,0.0,1.0,4550.0,2688.0,1950.0,1,A2,990000,2022-07-25
